,Unnamed: 0,FINAL,FRASE,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,OBJ/SUBJ
0,0,-1,notebook dell lixo,,,,,,,,,,1677.0,objetiva,"0,723780751",subjetiva
1,1,0,hashtag notebook dell inspiron i14 number b10 ar number number vista 4x juros … url,,,,,,,,,,640.0,subjetiva,"0,276219249",objetiva
2,2,-2,to aqui olhando notebook dell vi number momento achei tava site apple,,,,,,,,,,2317.0,Total,,subjetiva
3,3,0,semana cliente fnac continua ofertas notebook dell samsung url …,,,,,,,,,,,,,objetiva
4,4,0,problemas teclado notebook dell adquira novo bebê baterias confira preços url,,,,,,,,,,,,,objetiva
5,5,0,então vamos começar mudando notebook dell vostro url,,,,,,,,,,,,,objetiva
6,6,-1,username problema notebook estragou justamente dell experiência boa emoticon,,,,,,,,,,,,,subjetiva
7,7,0,cardadores malos notebook acer asus dell hp la en ovo sony samsung toshiba bell mac,,,,,,,,,,,,,objetiva
8,8,-1,odeio notebook dell mano noção hashtag,,,,,,,,,,,,,subjetiva
9,9,0,notebook dell vostro v14t number b30 intel core i5 4gb 2gb memória dedicada number 0gb led number touchscreen windows number url,,,,,,,,,,,,,objetiva
10,10,0,hashtag compre super notebook qualidade dell confira url,,,,,,,,,,,,,objetiva
11,11,0,en qualidade comprar notebook pense dell emoticon compre number desconto vista url,,,,,,,,,,,,,objetiva
12,12,0,comece semana qualidade notebook dell inspiron desconto number vista url,,,,,,,,,,,,,objetiva
13,13,1,username quero mandar volta cancelar compra gostei desse notebook prefiro dell dessa hp nunca,,,,,,,,,,,,,subjetiva
14,14,0,análise notebook dell xps number vi url …,,,,,,,,,,,,,objetiva
15,15,0,notebook dell latitude e6410 core i5 number 8gb ram hd number 0gb ar number parcelo,,,,,,,,,,,,,objetiva
16,16,-1,username nada notebook dell passei muita dor cabeça,,,,,,,,,,,,,subjetiva
17,17,0,gostei vídeo username username url boeing notebook dell a40,,,,,,,,,,,,,objetiva
18,18,1,username notebook gosto marca dell sites próprio site dell americanas magazine luiza,,,,,,,,,,,,,subjetiva
19,19,0,cardadores malos notebook acer asus dell hp la en ovo sony samsung toshiba bell mac,,,,,,,,,,,,,objetiva
20,20,1,volta mim notebook dell lindo sinto falta apertar teclas,,,,,,,,,,,,,subjetiva
21,21,0,vem ii escâner diagnostico original ford mercury lincoln cu number opcional notebook dell cu number placo url,,,,,,,,,,,,,objetiva
22,22,-1,comprar memória pro notebook impossível jeito reclamar dell username url … username username username,,,,,,,,,,,,,subjetiva
23,23,0,ninguém ai quer comprar notebook dell i5,,,,,,,,,,,,,objetiva
24,24,0,gostei vídeo username url … offboardcomo ativar placa video dedicada notebook dell,,,,,,,,,,,,,objetiva
25,25,1,notebook dell falantes bel show troquei hp beats funk,,,,,,,,,,,,,subjetiva
26,26,0,alguém carregador notebook dell disponível ai doação,,,,,,,,,,,,,objetiva
27,27,0,dell concertou notebook graça via suporte remoto,,,,,,,,,,,,,objetiva
28,28,-1,merda notebook dell bosta,,,,,,,,,,,,,subjetiva
29,29,0,fonte carregadora notebook dell alguém vender,,,,,,,,,,,,,objetiva
30,30,1,vou trocar notebook bom number anos passamos juntos love cu assim hashtag hashtag link permanente imagem incorporada,,,,,,,,,,,,,subjetiva
31,31,-1,extremamente insatisfeita notebook dell novo pois placa wireless intel number conectividade ruim username username,,,,,,,,,,,,,subjetiva
32,32,0,gostei vídeo username url … notebook dell inspiron number série number number,,,,,,,,,,,,,objetiva
33,33,-1,dell viu nome vendeu notebook defeito possível i5 6gb memória rende uns i3 2gb rendem ai,,,,,,,,,,,,,subjetiva
34,34,0,shauhsauhs comprei notebook deus pai dell grilado,,,,,,,,,,,,,objetiva
35,35,1,username acredite dell poucas marcas notebook ainda prestam notebook hp obsessos wi fi derretia,,,,,,,,,,,,,subjetiva
36,36,0,username comprar adaptador usb dell falou mandar notebook garantia garantia conserto etc ¯ ¯,,,,,,,,,,,,,objetiva
37,37,-1,notebook atual veio antivírus mcafee deus ruim dell trocou norton hein,,,,,,,,,,,,,subjetiva
38,38,0,notebook ultrafino dell vostro v14t number a20 intel core i5 4gb 2gb memória dedicada url,,,,,,,,,,,,,objetiva
39,39,0,gostei vídeo username url … offboardcomo ativar placa video dedicada notebook dell,,,,,,,,,,,,,objetiva
40,40,0,dell latitude e6510 notebook computer intel url hashtag hashtag url,,,,,,,,,,,,,objetiva
41,41,0,username olá comprei bateria nova notebook dell inspiron n4050 gostaria saber tempo primeira carga obrigado,,,,,,,,,,,,,objetiva
42,42,0,adicionei vídeo playlist username url … dicas boeing notebook dell vostro number a60,,,,,,,,,,,,,objetiva
43,43,0,notebook dell inspiron number i7 number 0u number 6gb ram 1tb disco number 4gbnvidia w8 number azul aprecio oferta number dólares url …,,,,,,,,,,,,,objetiva
44,44,0,novo number number dell inspiron number série number combina versatilidade tablet produtividade notebook url,,,,,,,,,,,,,objetiva
45,45,0,vendo notebook dell vostro memória 4gb ddr number hd number 0gb processador core i3 entrada hdmi number usb number url,,,,,,,,,,,,,objetiva
46,46,0,dell empresa soluções tecnológicas criou notebook number number pode presente perfeito url,,,,,,,,,,,,,objetiva
47,47,1,notebook dell tela linda dá problema toda hora driver vídeo uso,,,,,,,,,,,,,subjetiva
48,48,-1,quero comprar notebook novo aqui dá imploro comprar dell pior decisão fiz sério,,,,,,,,,,,,,subjetiva
49,49,0,notebook dell i15 number b20 intel core i7 number terceira geração ar number number number url … link permanente imagem incorporada,,,,,,,,,,,,,objetiva
50,50,0,username doaria ajudar comprar notebook ar number comprar dell top placa video 8gb ram,,,,,,,,,,,,,objetiva
51,51,1,username compraria fácil celular dell notebook comprei amei,,,,,,,,,,,,,subjetiva
52,52,0,dell latitude e6410 number notebook carbone ram ada or cpu ms528 …http emoticon impar és eive beautiful produtos buy2day informação buy number quer number … link permanente imagem incorporada,,,,,,,,,,,,,objetiva
53,53,0,alguém indica marcas boas notebook alem dell asus apple,,,,,,,,,,,,,objetiva
54,54,0,vendo notebook dell vostro semi novo,,,,,,,,,,,,,objetiva
55,55,0,planejando dar famosas pedaladas fiscais adquirir notebook dell raríssimo,,,,,,,,,,,,,objetiva
