,FRASE,OBJ/SUBJ
0," as dobras têm um segredo , elas são imortais . elas  ",objetiva
1,és sa pode ser a única chance de lazzo começar uma nova vida e recriar a família que ela tragicamente perdeu quando criança . ,objetiva
2," o livro fala de murray , o velho patriota escocês , que teve seus olhos arrancados e sua casa tirada durante a invasão inglesa .  ",objetiva
3,verifique seu cérebro e seu decodificador de agente secreto toca na porta porque você não quer pensar muito sobre o que está acontecendo . o filme tem algum valor de entretenimento - quanto depende de quão bem você gosta de chris rock . ,subjetiva
4," natural en te , ele retorna ao seu analista doutor . ben nobel ( cristal ) para obter ajuda e descobre que nobel precisa de alguma ajuda séria , pois herdou a prática da família , bem como um estoque excessivo de estresse .  ",objetiva
5," ainda sofrendo de ressaca , julie não percebe que ellen está desaparecida quando o ônibus escolar sai do cemitério .  ",objetiva
6,várias pessoas estão ouvindo a situação de keith no rádio e estão fazendo suas próprias mudanças . ,objetiva
7,um thriller de ação lindamente trabalhado sobre amor e terrorismo na coréia . ,subjetiva
8,apor és en está uma visão mais persuasiva do inferno na terra . ,subjetiva
9,o senso de humor afiado e muitas vezes travesso do filme vai pegar alguns desprevenidos . . . ,subjetiva
10,en terra um enredo interessante sobre moralidade e as escolhas que fazemos sob uma montanha de clichês e imagens emprestadas que poderia ser mais precisamente intitulado senhor . tira o velho bloco . ,subjetiva
11," como o primeiro filme de enorme sucesso , a sequência oferece entretenimento agradável , envolvente , embora amplamente descartável para o público em geral .  ",subjetiva
12,uma doce e envolvente história familiar sobre a natureza da fé e o poder da inocência juvenil . ,subjetiva
13," fuga real , no entanto , pode ser um objetivo além da possibilidade .  ",objetiva
14,os cineastas habilmente evocam a sensação de ameaça que a natureza traz para muitos moradores urbanos . ,subjetiva
15," infeliz en te , ele esquece de mencionar que é um jogador profissional com maus instintos e que a onça é emprestada .  ",objetiva
16," não és te clima racialmente carregado , o esquadrão de investigações especiais de elite do lapa ( irmã ) é atribuído a um homicídio quádruplo de alto perfil .  ",objetiva
17,uma notável meditação de number minutos sobre a natureza da revolução . ,subjetiva
18," és te documentário segue uma parceria comercial entre um clã de pescadores palestinos de campos de refugiados em gaza e israelenses do assentamento de augita , faixa de gaza .  ",objetiva
19," o bloqueio deste pintor levou a um homem desesperado obcecado com a necessidade de pintar , deixando o artista em estado de desordem .  ",objetiva
20,todas as estruturas sociais desmoronam e uma nova ordem mundial emerge do coração do deserto . ,objetiva
21," quando blake é iniciado , ele concorda em cumprir as três regras fundamentais : compartilhar seu espírito , corpo e alma com os outros ; dedicar sua vida a salvar crianças sem-teto ; e nunca sair a menos que o mestre o expulsa .  ",objetiva
22," . . . rotina , diversão inofensiva e pouco mais .  ",subjetiva
23,eu suspeito que este é o tipo de produção que teria sido mais engraçado se o diretor tivesse lançado os capturas nos cinemas e usado o filme como um bônus no dvd . ,subjetiva
24,de sertã rose é um thriller erótico que leva você através da experiência de vida de um homem . ,objetiva
25,a it te interpreta um jovem graduado de harvard que também representa o personagem de grant . ,objetiva
26,a equipe de blade e o bloodpack são a única linha de defesa que pode impedir que a população de ceifadores acabe com as populações de vampiros e humanos . ,objetiva
27,el és pretendem trazê-la de volta a tel-aviv para salvar sua vida . ,objetiva
